,index,tconst,primaryTitle,averageRating,numVotes,startYear,first,second,third,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western,groupe
0,0,tt0035423,Kate & Leopold,6.4,87747,2001,Comedy,Fantasy,Romance,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9
1,1,tt0069049,The Other Side of the Wind,6.7,7853,2018,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,tt0082328,Embodiment of Evil,5.9,1753,2008,Horror,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
3,3,tt0090665,Halfaouine: Boy of the Terraces,6.7,1927,1990,Comedy,Drama,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,4,tt0094997,Demonia,4.6,1918,1990,Horror,Mystery,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
5,5,tt0095111,The Escape,7.8,1041,1991,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,6,tt0096786,Alienator,3.2,1795,1990,Action,Drama,Fantasy,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,7,tt0096871,Baby Blood,6.0,2236,1990,Horror,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
8,8,tt0096875,Catchfire,5.3,4383,1990,Action,Comedy,Crime,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,9,tt0097004,Caged Fury,3.9,1169,1990,Action,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,10,tt0097106,A Tale of Springtime,7.1,5510,1990,Comedy,Drama,Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
11,11,tt0097253,Deja vu,7.5,1497,1990,Comedy,Crime,History,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
12,12,tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,3.7,1674,1990,Comedy,Sci-Fi,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
13,13,tt0097416,Kadhalan,7.1,2098,1994,Action,Drama,Romance,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
14,14,tt0097550,I Bought a Vampire Motorcycle,5.5,1439,1990,Comedy,Crime,Fantasy,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,15,tt0097573,In the Cold of the Night,4.6,1752,1990,Drama,Mystery,Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
16,16,tt0097769,The Local Stigmatic,5.6,1647,1990,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,17,tt0097775,The Master,5.7,2950,1992,Action,Comedy,Crime,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,18,tt0097851,Mathilukal,8.3,1586,1990,Drama,Romance,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
19,19,tt0097874,Metamorphosis,4.0,1052,1990,Horror,Sci-Fi,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
20,20,tt0097884,May Fools,7.2,3353,1990,Comedy,Romance,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
21,21,tt0097910,Moon 44,5.0,5581,1990,Action,Sci-Fi,Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
22,22,tt0098063,Paprika,5.5,4488,1991,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23,23,tt0098136,Prom Night III: The Last Kiss,4.6,2469,1990,Comedy,Horror,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
24,24,tt0098486,The Death King,6.4,2748,1990,Drama,Horror,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
25,25,tt0098532,The Match Factory Girl,7.5,10510,1990,Comedy,Crime,Drama,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,26,tt0098606,The Voice of the Moon,6.3,3204,1990,Comedy,Drama,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,27,tt0098961,Les 1001 nuits,5.4,1016,1990,Adventure,Comedy,Fantasy,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28,28,tt0098966,Three Men and a Little Lady,5.5,26056,1990,Comedy,Drama,Family,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,29,tt0098967,Boiling Point,6.7,7319,1990,Action,Comedy,Crime,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,30,tt0098987,The Adventures of Ford Fairlane,6.4,18929,1990,Action,Adventure,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31,31,tt0098994,"After Dark, My Sweet",6.5,4028,1990,Crime,Drama,Mystery,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
32,32,tt0098999,Agneepath,7.6,9306,1990,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33,33,tt0099005,Air America,5.8,29975,1990,Action,Comedy,War,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
34,34,tt0099012,Alice,6.6,15004,1990,Comedy,Romance,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
